name,overseas,withdrawn,role,keeper,batting_type,bowling_type,team,year,batting_hand,bowling_arm,bowling_speed,spin_type
Shamarh Brooks,False,False,Top-order batsman,False,Right-hand bat,spin,Barbados Tridents,2020,R,R,slow,ls
Jonathan Carter,False,False,Batting allrounder,False,Left-hand bat,seam,Barbados Tridents,2020,L,R,med,
Johnson Charles,False,False,Wicketkeeper batsman,True,Right-hand bat,,Barbados Tridents,2020,R,,,
Justin Greaves,False,False,Allrounder,False,Right-hand bat,seam,Barbados Tridents,2020,R,R,med,
Keon Harding,False,False,Bowler,False,Right-hand bat,seam,Barbados Tridents,2020,R,R,fast,
Shai Hope,False,False,Wicketkeeper batsman,True,Right-hand bat,,Barbados Tridents,2020,R,,,
Kyle Mayers,False,False,Batting allrounder,False,Left-hand bat,seam,Barbados Tridents,2020,L,R,med,
Ashley Nurse,False,False,Bowler,False,Right-hand bat,spin,Barbados Tridents,2020,R,R,slow,os
Rashid Khan,True,False,Bowler,False,Right-hand bat,spin,Barbados Tridents,2020,R,R,slow,ls
Raymon Reifer,False,False,Allrounder,False,Left-hand bat,seam,Barbados Tridents,2020,L,L,med,
Mitchell Santner,True,False,Bowling allrounder,False,Left-hand bat,spin,Barbados Tridents,2020,L,L,slow,sla
Hayden Walsh,False,False,Bowler,False,Left-hand bat,spin,Barbados Tridents,2020,L,R,slow,ls
Harry Gurney,False,True,Bowler,False,Right-hand bat,seam,Barbados Tridents,2020,R,L,fast,
Alex Hales,False,True,Opening batsman,False,Right-hand bat,seam,Barbados Tridents,2020,R,R,med,
Rahmanullah Gurbaz,False,True,Wicketkeeper batsman,True,Right-hand bat,,Barbados Tridents,2020,R,,,
Marcus Stoinis,False,True,Middle-order batsman,False,Right-hand bat,seam,Barbados Tridents,2020,R,R,med,
Chris Green,False,False,Allrounder,False,Right-hand bat,spin,Guyana Amazon Warriors,2020,R,R,slow,os
Anthony Bramble,False,False,Wicketkeeper batsman,True,Right-hand bat,,Guyana Amazon Warriors,2020,R,,,
Chandrapaul Hemraj,False,False,Opening batsman,False,Left-hand bat,spin,Guyana Amazon Warriors,2020,L,L,slow,sla
Shimron Hetmyer,False,False,Top-order batsman,False,Left-hand bat,,Guyana Amazon Warriors,2020,L,,,
Imran Tahir,True,False,Bowler,False,Right-hand bat,spin,Guyana Amazon Warriors,2020,R,R,slow,ls
Jessy Singh,True,False,Bowler,False,Right-hand bat,seam,Guyana Amazon Warriors,2020,R,R,med,
Brandon King,False,False,Top-order batsman,False,Right-hand bat,,Guyana Amazon Warriors,2020,R,,,
Naveen-ul-Haq,True,False,Bowler,False,Right-hand bat,seam,Guyana Amazon Warriors,2020,R,R,med,
Keemo Paul,False,False,Allrounder,False,Right-hand bat,seam,Guyana Amazon Warriors,2020,R,R,fast,
Nicholas Pooran,False,False,Wicketkeeper batsman,True,Left-hand bat,,Guyana Amazon Warriors,2020,L,,,
