name,overseas,withdrawn,role,keeper,batting,bowling,team,year,batting_hand,bowling_arm,bowling_speed,bowling_type,spin_type
Rajat Bhatia,False,False,Allrounder,False,Right-hand bat,Right-arm medium-fast,Delhi Daredevils,2007,R,R,med,seam,
AB de Villiers,False,False,Wicketkeeper batsman,True,Right-hand bat,Right-arm medium,Delhi Daredevils,2007,R,R,med,seam,
Shikhar Dhawan,False,False,Opening batsman,False,Left-hand bat,Right-arm offbreak,Delhi Daredevils,2007,L,R,slow,spin,os
Tillakaratne Dilshan,False,False,Allrounder,False,Right-hand bat,Right-arm offbreak,Delhi Daredevils,2007,R,R,slow,spin,os
Gautam Gambhir,False,False,Top-order batsman,False,Left-hand bat,Legbreak,Delhi Daredevils,2007,L,R,slow,spin,ls
Brett Geeves,False,False,Bowler,False,Right-hand bat,Right-arm fast-medium,Delhi Daredevils,2007,R,R,fast,seam,
Dinesh Karthik,False,False,Wicketkeeper batsman,True,Right-hand bat,Right-arm offbreak,Delhi Daredevils,2007,R,R,slow,spin,os
Glenn McGrath,False,False,Bowler,False,Right-hand bat,Right-arm fast-medium,Delhi Daredevils,2007,R,R,fast,seam,
Farveez Maharoof,False,False,Allrounder,False,Right-hand bat,Right-arm fast-medium,Delhi Daredevils,2007,R,R,fast,seam,
Yo Mahesh,False,False,Allrounder,False,Right-hand bat,Right-arm medium-fast,Delhi Daredevils,2007,R,R,med,seam,
Mithun Manhas,False,False,Allrounder,False,Right-hand bat,Right-arm offbreak,Delhi Daredevils,2007,R,R,slow,spin,os
Amit Mishra,False,False,Bowler,False,Right-hand bat,Legbreak,Delhi Daredevils,2007,R,R,slow,spin,ls
Mohammad Asif,False,False,Bowler,False,Left-hand bat,Right-arm fast-medium,Delhi Daredevils,2007,L,R,fast,seam,
Pradeep Sangwan,False,False,Bowler,False,Right-hand bat,Left-arm medium,Delhi Daredevils,2007,R,L,med,seam,
Shoaib Malik,False,False,Allrounder,False,Right-hand bat,Right-arm offbreak,Delhi Daredevils,2007,R,R,slow,spin,os
Mayank Tehlan,False,False,Allrounder,False,Right-hand bat,Right-arm offbreak,Delhi Daredevils,2007,R,R,slow,spin,os
Manoj Tiwary,False,False,Batsman,False,Right-hand bat,Legbreak googly,Delhi Daredevils,2007,R,R,slow,spin,ls
Daniel Vettori,False,True,Allrounder,False,Left-hand bat,Slow left-arm orthodox,Delhi Daredevils,2007,L,L,slow,spin,sla
Greg Shipperd,False,False,,False,Right-hand bat,,Delhi Daredevils,2007,R,,,,
Yuvraj Singh,False,False,Middle-order batsman,False,Left-hand bat,Slow left-arm orthodox,Kings XI Punjab,2007,L,L,slow,spin,sla
Mahela Jayawardene,False,False,Batsman,False,Right-hand bat,Right-arm medium,Kings XI Punjab,2007,R,R,med,seam,
Ajitesh Argal,False,False,,False,Right-hand bat,Right-arm medium,Kings XI Punjab,2007,R,R,med,seam,
Piyush Chawla,False,False,Bowling allrounder,False,Left-hand bat,Legbreak,Kings XI Punjab,2007,L,R,slow,spin,ls
Pankaj Dharmani,False,False,,False,Right-hand bat,,Kings XI Punjab,2007,R,,,,
Rishi Dhawan,False,False,Allrounder,False,Right-hand bat,Right-arm medium-fast,Kings XI Punjab,2007,R,R,med,seam,
Gagandeep Singh,False,False,,False,Right-hand bat,Right-arm medium-fast,Kings XI Punjab,2007,R,R,med,seam,
Karan Goel,False,False,,False,Left-hand bat,Right-arm offbreak,Kings XI Punjab,2007,L,R,slow,spin,os
James Hopes,False,False,Allrounder,False,Right-hand bat,Right-arm medium,Kings XI Punjab,2007,R,R,med,seam,
Simon Katich,False,False,Batsman,False,Left-hand bat,Left-arm wrist-spin,Kings XI Punjab,2007,L,L,slow,spin,lls
Uday Kaul,False,False,Wicketkeeper,True,Left-hand bat,,Kings XI Punjab,2007,L,,,,
Sahil Kukreja,False,False,,False,Right-hand bat,,Kings XI Punjab,2007,R,,,,
Brett Lee,False,False,Bowler,False,Right-hand bat,Right-arm fast,Kings XI Punjab,2007,R,R,fast,seam,
Shaun Marsh,False,False,Top-order batsman,False,Left-hand bat,Slow left-arm orthodox,Kings XI Punjab,2007,L,L,slow,spin,sla
Kyle Mills,False,False,Bowler,False,Right-hand bat,Right-arm fast-medium,Kings XI Punjab,2007,R,R,fast,seam,
Irfan Pathan,False,False,Allrounder,False,Left-hand bat,Left-arm medium-fast,Kings XI Punjab,2007,L,L,med,seam,
Luke Pomersbach,False,False,Batsman,False,Left-hand bat,Right-arm offbreak,Kings XI Punjab,2007,L,R,slow,spin,os
Ramesh Powar,False,False,Bowler,False,Right-hand bat,Right-arm offbreak,Kings XI Punjab,2007,R,R,slow,spin,os
Nitin Saini,False,False,,False,Right-hand bat,,Kings XI Punjab,2007,R,,,,
Kumar Sangakkara,False,False,Wicketkeeper batsman,True,Left-hand bat,Right-arm offbreak,Kings XI Punjab,2007,L,R,slow,spin,os
Ramnaresh Sarwan,False,False,Batsman,False,Right-hand bat,Legbreak,Kings XI Punjab,2007,R,R,slow,spin,ls
Vikram Singh,False,False,,False,Right-hand bat,Right-arm medium-fast,Kings XI Punjab,2007,R,R,med,seam,
Sunny Sohal,False,False,Batsman,False,Right-hand bat,Legbreak,Kings XI Punjab,2007,R,R,slow,spin,ls
Sreesanth,False,False,Bowler,False,Right-hand bat,Right-arm fast-medium,Kings XI Punjab,2007,R,R,fast,seam,
Tanmay Srivastava,False,False,Top-order batsman,False,Left-hand bat,Right-arm medium,Kings XI Punjab,2007,L,R,med,seam,
Tom Moody,False,False,Top-order batsman,False,Right-hand bat,Right-arm medium,Kings XI Punjab,2007,R,R,med,seam,
Sourav Ganguly,False,False,Batsman,False,Left-hand bat,Right-arm medium,Kolkata Knight Riders,2007,L,R,med,seam,
Ajit Agarkar,False,False,Bowler,False,Right-hand bat,Right-arm fast,Kolkata Knight Riders,2007,R,R,fast,seam,
Aakash Chopra,False,False,Batsman,False,Right-hand bat,Right-arm medium,Kolkata Knight Riders,2007,R,R,med,seam,
